/tmp/error.YRZj4C:[Thu Jan 09 17:48:54.820502 2014] [cgi:error] [pid 26707] [client 23.202.196.212:50927] AH01215: replayserver: Can't find: GET /data/sample.jpeg?CS_001=1081107&re=0&co=0&ssid=1389307734815-14429&cs=0&ci=0&ver=1390&tran=-1&rnd=86, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.662027 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38484] AH01215: replayserver: Can't find: GET /~/media/Home%20Page/Images/hero-image-1.ashx?h=400&w=970, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.729009 2014] [cgi:error] [pid 26695] [client 170.146.234.214:38491] AH01215: replayserver: Can't find: GET /js/primary%20pages/vendor/jquery-1.5.2.min.js, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.730179 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38492] AH01215: replayserver: Can't find: GET /~/media/Home%20Page/Images/hero-image-1.ashx?h=400&w=970, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.732224 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38495] AH01215: replayserver: Can't find: GET /images/primary%20pages/region-flags.png?1372416413, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.732876 2014] [cgi:error] [pid 26696] [client 170.146.234.214:38493] AH01215: replayserver: Can't find: GET /images/primary%20pages/bg-adp-2013.png, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.733098 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38497] AH01215: replayserver: Can't find: GET /images/primary%20pages/icon-sprite.png?1372250578, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.733747 2014] [cgi:error] [pid 26693] [client 170.146.234.214:38494] AH01215: replayserver: Can't find: GET /images/primary%20pages/footer-bg.png, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.734699 2014] [cgi:error] [pid 26695] [client 170.146.234.214:38496] AH01215: replayserver: Can't find: GET /images/primary%20pages/follow-icons.png?1372412739, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.735676 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38500] AH01215: replayserver: Can't find: GET /images/primary%20pages/outbound-link-icon.png?1371850679, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.735767 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38498] AH01215: replayserver: Can't find: GET /images/primary%20pages/business-type-icons.png?1372172507, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.735951 2014] [cgi:error] [pid 26696] [client 170.146.234.214:38499] AH01215: replayserver: Can't find: GET /images/primary%20pages/dropdown-column-divider.png?1372174032, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.736624 2014] [cgi:error] [pid 26693] [client 170.146.234.214:38501] AH01215: replayserver: Can't find: GET /images/primary%20pages/nav-world-shape.png?1372023948, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.738795 2014] [cgi:error] [pid 26695] [client 170.146.234.214:38502] AH01215: replayserver: Can't find: GET /images/primary%20pages/home/home-nav-gradient-grey-bg-chevron.png?1372243638, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.739372 2014] [cgi:error] [pid 26694] [client 170.146.234.214:38504] AH01215: replayserver: Can't find: GET /images/primary%20pages/message_ticker/message-nav-arrows.png?1371770513, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.739480 2014] [cgi:error] [pid 26692] [client 170.146.234.214:38503] AH01215: replayserver: Can't find: GET /images/primary%20pages/message_ticker/message-type-icons.png?1372023948, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.740725 2014] [cgi:error] [pid 26696] [client 170.146.234.214:38505] AH01215: replayserver: Can't find: GET /images/primary%20pages/home/get-a-quote-product-shot.png?1372023948, referer: http://www.adp.com/
/tmp/error.Bn7oOR:[Thu Jan 09 17:48:54.740820 2014] [cgi:error] [pid 26693] [client 170.146.234.214:38506] AH01215: : Can't find: GET /images/primary%20pages/footer-logo.png?1371758282, referer: http://www.adp.com/
