/tmp/error.W0uBwS:[Thu Jan 09 17:03:18.228685 2014] [cgi:error] [pid 18960] [client 18.7.20.70:36360] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/15/things-from-you-childhood-that-are-extinct-now-1-498-1389214476-41.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:18.228726 2014] [cgi:error] [pid 18958] [client 18.7.20.70:36362] AH01215: Can't find: GET /static/2013-12/campaign_images/webdr03/18/14/10-party-moments-only-sober-people-understand-1-25599-1387393821-0_big.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:18.228921 2014] [cgi:error] [pid 18959] [client 18.7.20.70:36361] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr05/8/17/the-23-laziest-things-that-have-ever-happened-1-27377-1389221313-6.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:18.233805 2014] [cgi:error] [pid 18962] [client 18.7.20.70:36363] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/17/26-things-you-need-to-do-before-you-graduate-high-1-18672-1389221444-7_big.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:18.279803 2014] [cgi:error] [pid 19415] [client 18.7.20.70:36381] AH01215: replayserver: Can't find: GET /static/2013-12/campaign_images/webdr02/24/17/the-most-tragic-first-world-problems-of-2013-1-1239-1387924374-15_big.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:19.245138 2014] [cgi:error] [pid 18958] [client 18.7.20.70:36417] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/13/taste-testing-the-flavored-mouthguards-endorsed-b-1-16300-1389205963-17.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:20.228167 2014] [cgi:error] [pid 19415] [client 18.7.20.70:36419] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr02/8/15/7-reasons-why-tim-tebow-is-actually-a-great-fit-f-1-17394-1389212711-12.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:21.228881 2014] [cgi:error] [pid 18960] [client 18.7.20.70:36420] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/15/an-iranian-artist-asked-50-people-in-tehran-if-yo-1-498-1389214206-38.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:22.229566 2014] [cgi:error] [pid 18959] [client 18.7.20.70:36421] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/15/crazy-things-that-have-already-happened-this-year-1-3454-1389213711-10.jpg, referer: http://www.buzzfeed.com/
/tmp/error.W0uBwS:[Thu Jan 09 17:03:23.231589 2014] [cgi:error] [pid 18962] [client 18.7.20.70:36422] AH01215: replayserver: Can't find: GET /static/2014-01/campaign_images/webdr06/8/16/this-awesome-timelapse-shows-exactly-what-100-day-1-13649-1389216271-3.jpg, referer: http://www.buzzfeed.com/
/tmp/error.YjBjGp:[Thu Jan 09 17:03:17.913558 2014] [cgi:error] [pid 18982] [client 173.194.43.60:36310] AH01215: replayserver: Can't find: GET /N6556/adj/bfd/home;wid=10;sz=3x3;pos=header;tile=10;tame=1;nsfw=0;poe=undefined;ord=25951194553636016?, referer: http://www.buzzfeed.com/
/tmp/error.YjBjGp:[Thu Jan 09 17:03:17.942094 2014] [cgi:error] [pid 18983] [client 173.194.43.60:36323] AH01215: replayserver: Can't find: GET /N6556/adj/bfd/home;wid=15;sz=3x3;pos=header2;tile=15;tame=1;nsfw=0;poe=undefined;ord=25951194553636016?, referer: http://www.buzzfeed.com/
/tmp/error.YjBjGp:[Thu Jan 09 17:03:17.975152 2014] [cgi:error] [pid 18984] [client 173.194.43.60:36342] AH01215: replayserver: Can't find: GET /N6556/adj/bfd/home;wid=13;page=1;sz=300x250;pos=bigstory;tile=13;flex_medium=bigstory;tame=1;nsfw=0;poe=undefined;ord=25951194553636016?, referer: http://www.buzzfeed.com/
/tmp/error.YjBjGp:[Thu Jan 09 17:03:17.995408 2014] [cgi:error] [pid 18985] [client 173.194.43.60:36354] AH01215: replayserver: Can't find: GET /N6556/adj/bfd/home;wid=1;page=1;sz=5x5;pos=story1;tile=1;tame=1;nsfw=0;poe=undefined;ord=25951194553636016?, referer: http://www.buzzfeed.com/
/tmp/error.YjBjGp:[Thu Jan 09 17:03:18.017144 2014] [cgi:error] [pid 18986] [client 173.194.43.60:36366] AH01215: replayserver: Can't find: GET /N6556/adj/bfd/home;wid=2;page=1;sz=5x5;pos=story2;tile=2;tame=1;nsfw=0;poe=undefined;ord=25951194553636016?, referer: http://www.buzzfeed.com/
