/tmp/error.zIU5fz:[Thu Jan 09 16:56:21.154734 2014] [cgi:error] [pid 6017] [client 157.166.248.10:45097] AH01215: replayserver: Can't find: GET /.element/ssi/misc/3.0/editionvars.html?&csiID=csi2, referer: http://www.cnn.com/
/tmp/error.zIU5fz:[Thu Jan 09 16:56:21.244748 2014] [cgi:error] [pid 6013] [client 157.166.248.10:45110] AH01215: replayserver: Can't find: GET /favicon.ie9.ico
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.164765 2014] [cgi:error] [pid 5916] [client 8.254.55.126:43620] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/personalization/hp_market_sprite.gif, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.166732 2014] [cgi:error] [pid 5917] [client 8.254.55.126:43624] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/personalization/weather_sprite.gif, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.166866 2014] [cgi:error] [pid 5915] [client 8.254.55.126:43622] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/personalization/Green_market_status.gif, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.168902 2014] [cgi:error] [pid 5918] [client 8.254.55.126:43621] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/personalization/Red_market_status.gif, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.171532 2014] [cgi:error] [pid 5919] [client 8.254.55.126:43623] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/content/homepage/refresh/hp_market_sprite.png, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.210940 2014] [cgi:error] [pid 5915] [client 8.254.55.126:43628] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/weather/03/35.png, referer: http://www.cnn.com/
/tmp/error.vg5thf:[Thu Jan 09 16:56:21.222308 2014] [cgi:error] [pid 5917] [client 8.254.55.126:43629] AH01215: replayserver: Can't find: GET /cnn/.e/img/3.0/content/homepage/refresh/weather_sprite.png, referer: http://www.cnn.com/
/tmp/error.7k7Odx:[Thu Jan 09 16:56:20.588802 2014] [cgi:error] [pid 5939] [client 157.166.226.207:32992] AH01215: replayserver: Can't find: GET /html.ng/site=cnn&cnn_pagetype=main&cnn_position=970x66_top&cnn_rollup=homepage&page.allowcompete=no&params.styles=fs&Params.User.UserID=52cdeaf8075f790a3c71ba092304ba18&transactionID=13893045813032038586187776&tile=7350854039835&domId=f123e4c89a0d9786&kxid=&kxseg=, referer: http://www.cnn.com/
/tmp/error.7k7Odx:[Thu Jan 09 16:56:20.621172 2014] [cgi:error] [pid 5940] [client 157.166.226.207:33013] AH01215: Can't find: GET /html.ng/site=cnn&cnn_pagetype=main&cnn_position=143x31_spon1&cnn_rollup=homepage&cnn_section=weather&page.allowcompete=no&params.styles=fs&Params.User.UserID=52cdeaf8075f790a3c71ba092304ba18&transactionID=13893045813032038586187776&tile=7350854039835&domId=8c15d5fcb36f8132&kxid=&kxseg=, referer: http://www.cnn.com/
