/tmp/error.dqAFWo:[Thu Jan 09 18:12:27.767009 2014] [cgi:error] [pid 4211] [client 173.194.43.59:50519] AH01215: replayserver: Can't find: GET /activity;src=1902932;type=nikes020;cat=homep944;ord=1;num=7024965581949, referer: http://www.nike.com/us/en_us/
/tmp/error.vqHebD:[Thu Jan 09 18:12:26.608935 2014] [cgi:error] [pid 4360] [client 173.194.43.60:59427] AH01215: replayserver: Can't find: GET /activityi;src=4171764;type=homepage;cat=nikehome;u1=us;u2=en_us;u3=www_home;u4=view_www_home;ord=8338964555878.192?, referer: http://www.nike.com/us/en_us/
/tmp/error.JMFgOP:[Thu Jan 09 18:12:26.610530 2014] [cgi:error] [pid 4462] [client 74.217.253.60:36715] AH01215: replayserver: Can't find: GET /r1/pixel/x9645r7286580, referer: http://www.nike.com/us/en_us/
/tmp/error.qhZgvh:[Thu Jan 09 18:12:27.761417 2014] [cgi:error] [pid 4433] [client 66.235.138.226:52748] AH01215: replayserver: Can't find: GET /b/ss/nikecomprod/1/H.25.4/s91776049728505?AQB=1&ndh=1&t=9%2F0%2F2014%2018%3A12%3A27%204%20300&fid=179D0827E96F5046-27D9E50B1FF2CDBB&ce=UTF-8&ns=nike&pageName=nikecom%3Ehomepage&g=http%3A%2F%2Fwww.nike.com%2Fus%2Fen_us%2F&cc=USD&ch=homepage&server=nikecomprod&c2=nikecom&v4=not%20logged%20in&c5=entry&c6=entry&c7=nikecom%3Ehomepage&v8=D%3Dc15&c9=tms%201.19&c10=brand&c14=us&c15=en&v16=D%3Dc37&c17=homepage&c19=D%3Dch&v23=D%3Dc14&c24=D%3Duser-agent&v24=D%3Dc2&c26=D%3Dg&v28=5000&c30=888fc53a-2693-487f-996f-becbfe6fc0d2&c31=1389310946391&v34=%2B1&c37=10%3A12%20pm%20-%20thursday&v41=browse&v48=D%3Dpagename&c51=not%20avaliable&c54=http%3A%2F%2Fwww.nike.com%2F&v60=D%3Dc6&v70=D%3Dc5&s=1920x1200&c=24&j=1.6&v=Y&k=Y&bw=937&bh=1051&AQE=1, referer: http://www.nike.com/us/en_us/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.166305 2014] [cgi:error] [pid 4170] [client 23.44.203.19:39554] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/hero.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.172097 2014] [cgi:error] [pid 4172] [client 23.44.203.19:39556] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p3.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.173187 2014] [cgi:error] [pid 4171] [client 23.44.203.19:39555] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p2.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.174591 2014] [cgi:error] [pid 4173] [client 23.44.203.19:39557] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p4.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.176310 2014] [cgi:error] [pid 4170] [client 23.44.203.19:39558] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p5.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.177355 2014] [cgi:error] [pid 4171] [client 23.44.203.19:39560] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p7.jpg, referer: http://www.nike.com/
/tmp/error.xYPk7T:[Thu Jan 09 18:12:26.178163 2014] [cgi:error] [pid 4169] [client 23.44.203.19:39559] AH01215: replayserver: Can't find: GET /content/dam/one-nike/globalAssets/landing_page_images/p6.jpg, referer: http://www.nike.com/
/tmp/error.lcRYtP:[Thu Jan 09 18:12:26.166783 2014] [cgi:error] [pid 4162] [client 23.74.28.16:35155] AH01215: replayserver: Can't find: GET /nikestore/html/css/language_tunnel.css?buildRev=196440, referer: http://www.nike.com/
/tmp/error.lcRYtP:[Thu Jan 09 18:12:26.174829 2014] [cgi:error] [pid 4163] [client 23.74.28.16:35163] AH01215: replayserver: Can't find: GET /nikestore/html/img/swoosh.png, referer: http://www.nike.com/
/tmp/error.AXghKk:[Thu Jan 09 18:12:26.393826 2014] [cgi:error] [pid 4344] [client 18.7.20.69:53824] AH01215: replayserver: Can't find: GET /js/1/a-a745af8f/p/nike.com/385919/g, referer: http://www.nike.com/us/en_us/
